league_country,scraping_time,link,no,name,league,club,league_level,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Türkei,20230420225134,https://www.transfermarkt.ch/jakub-szumski/profil/spieler/157848,29,Jakub Szumski,1.Lig,Samsunspor,2.Liga,31,"1,94 m",Polen,Torwart,rechts,Familienangehörige,,01.07.2022,30.06.2024,,Polen U21,10,0,300 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,400 Tsd. €,21.05.2021,94,94,13,,http://www.instagram.com/szumskikuba/,,23,13,31,"2,13",-,,-,-,-,2,-,-,,,2.790'
Türkei,20230420225150,https://www.transfermarkt.ch/aykut-ozer/profil/spieler/117518,1,Aykut Özer,1.Lig,Samsunspor,2.Liga,30,"1,87 m",Türkei,Torwart,rechts,Familienangehörige,,14.07.2021,30.06.2024,,Türkei U21,6,0,100 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,525 Tsd. €,16.03.2021,0,0,0,,http://www.instagram.com/aykutozer.93/,,-,-,-,-,-,,-,-,-,-,-,-,,,-
Türkei,20230420225208,https://www.transfermarkt.ch/halil-yeral/profil/spieler/511119,45,Halil Yeral,1.Lig,Samsunspor,2.Liga,23,"1,90 m",Türkei,Torwart,rechts,Öner Karalar,,26.01.2023,30.06.2025,,Türkei U21,0,0,25 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,75 Tsd. €,27.05.2021,,,,,http://www.instagram.com/halilyeral_/,,,,,,,,,,,,,,,,
Türkei,20230420225224,https://www.transfermarkt.ch/ali-taha-demir/profil/spieler/924333,52,Ali Taha Demir,1.Lig,Samsunspor,2.Liga,17,"2,00 m",Türkei,Torwart,rechts,,,01.07.2022,30.06.2024,,,,,25 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,25 Tsd. €,15.11.2022,0,0,0,,http://www.instagram.com/alitahademirr/,,-,-,-,-,-,,-,-,-,-,-,-,,,-
Türkei,20230420225246,https://www.transfermarkt.ch/yunus-emre-cift/profil/spieler/821622,22,Yunus Emre Cift,1.Lig,Samsunspor,2.Liga,19,"1,85 m",Türkei,Innenverteidiger,rechts,,,23.01.2021,30.06.2027,Türkei U21,,1,0,750 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,750 Tsd. €,03.04.2023,64,67,,2,http://instagram.com/yunusemrecift,Gelbsperre - 1.Ligbis 24.04.2023,,,25,"2,36",1,-,-,4,1,4,-,-,-,1.985',1.985'
Türkei,20230420225258,https://www.transfermarkt.ch/alim-ozturk/profil/spieler/189186,5,Alim Öztürk,1.Lig,Samsunspor,2.Liga,30,"1,91 m",Türkei,Innenverteidiger,rechts,,,01.07.2022,30.06.2024,,Türkei U21,4,0,400 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,500 Tsd. €,17.03.2022,88,84,,5,http://www.instagram.com/alimozturk5/,,,,29,"2,24",3,-,1,-,2,7,-,1,-,834',2.502'
Türkei,20230420225317,https://www.transfermarkt.ch/yusuf-abdioglu/profil/spieler/199938,55,Yusuf Abdioglu,1.Lig,Samsunspor,2.Liga,33,"1,81 m",Türkei,Innenverteidiger,rechts,B&B Sports Management,,01.07.2022,30.06.2024,,,,,300 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,650 Tsd. €,12.10.2020,39,39,,5,http://www.instagram.com/abdiogluyusuf/,,,,18,"2,00",2,1,-,5,4,4,-,1,-,582',1.163'
Türkei,20230420225337,https://www.transfermarkt.ch/elano-yegen/profil/spieler/811114,3,Elano Yegen,1.Lig,Samsunspor,2.Liga,20,"1,91 m",Niederlande,Innenverteidiger,beidfüßig,Iconics Management,,01.02.2023,30.06.2026,,,,,125 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,125 Tsd. €,23.06.2022,0,0,,0,http://www.instagram.com/elanoyegen/,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
Türkei,20230420225357,https://www.transfermarkt.ch/guy-serge-yameogo/profil/spieler/568436,,Guy Serge Yameogo,1.Lig,Samsunspor,2.Liga,22,"1,84 m",Elfenbeinküste,Innenverteidiger,rechts,CSM Sport & Entertainment,,19.08.2020,30.06.2025,,,,,100 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,300 Tsd. €,30.12.2020,0,3,,0,http://www.instagram.com/guyserge24/,keine Spielberechtigung - 1.Lig,,,1,"0,00",-,-,-,1,-,-,-,-,-,-,44'
Türkei,20230420225418,https://www.transfermarkt.ch/berk-taskin/profil/spieler/354264,4,Berk Taskin,1.Lig,Samsunspor,2.Liga,25,"1,85 m",Türkei,Innenverteidiger,rechts,,,11.08.2021,30.06.2025,,,,,100 Tsd. €Letzte Änderung: 03.04.2023,Tsd. €,Letzte Änderung: 03.04.2023,200 Tsd. €,15.11.2022,0,1,,0,http://instagram.com/berktaskinn_/,,,,3,"2,33",-,-,-,3,-,-,-,-,-,-,26'
